hks_t0,hks_t1,hks_t2,hks_t3,hks_t4,hks_t5,hks_t6,hks_t7,hks_t8,hks_t9,hks_t10,hks_t11,hks_t12,hks_t13,hks_t14,hks_t15,hks_t16,hks_t17,hks_t18,hks_t19,hks_t20,hks_t21,hks_t22,hks_t23,hks_t24,hks_t25,hks_t26,hks_t27,hks_t28,hks_t29,hks_t30,hks_t31,target_label
-13.857583,-13.866811,-13.877938,-13.891341,-13.907466,-13.926838,-13.950074,-13.977903,-14.011173,-14.050882,-14.098199,-14.154493,-14.22138,-14.300753,-14.394824,-14.506141,-14.637553,-14.792118,-14.972859,-15.182341,-15.421935,-15.690672,-15.983632,-16.290268,-16.593966,-16.875086,-17.118202,-17.319103,-17.484924,-17.627699,-17.758013,-17.882626,Spine
-14.840747,-14.86807,-14.900881,-14.940189,-14.987139,-15.043,-15.1091385,-15.1869545,-15.277769,-15.382638,-15.502078,-15.635695,-15.781762,-15.936874,-16.095972,-16.253056,-16.402693,-16.541832,-16.670803,-16.792782,-16.912144,-17.032839,-17.157637,-17.288202,-17.425531,-17.570347,-17.7233,-17.884909,-18.055233,-18.233347,-18.41683,-18.601688,Shaft
-14.845319,-14.87107,-14.901995,-14.939047,-14.983315,-15.036019,-15.098495,-15.172156,-15.258429,-15.358636,-15.473849,-15.604682,-15.751063,-15.912049,-16.085754,-16.269524,-16.46036,-16.655487,-16.852823,-17.051113,-17.249771,-17.44863,-17.647736,-17.847202,-18.047117,-18.247488,-18.448317,-18.649714,-18.852,-19.05578,-19.262096,-19.47265,Soma
-14.842414,-14.85832,-14.87732,-14.8999405,-14.926764,-14.958416,-14.995549,-15.038806,-15.088777,-15.145933,-15.210556,-15.2826605,-15.361928,-15.4476795,-15.538891,-15.634268,-15.732345,-15.831577,-15.930433,-16.027477,-16.121511,-16.211761,-16.298065,-16.381002,-16.461885,-16.542593,-16.62529,-16.712122,-16.805014,-16.905596,-17.015158,-17.134512,Shaft
-14.832991,-14.859269,-14.890841,-14.928685,-14.9739275,-15.027831,-15.091788,-15.167281,-15.255821,-15.358841,-15.47754,-15.612685,-15.76438,-15.931869,-16.113455,-16.306667,-16.508677,-16.716877,-16.929329,-17.144829,-17.362541,-17.581358,-17.799198,-18.012558,-18.216707,-18.406837,-18.579857,-18.735811,-18.878052,-19.012104,-19.144083,-19.279491,Soma
-13.779239,-13.79128,-13.805834,-13.823412,-13.844624,-13.8701935,-13.900978,-13.937987,-13.982402,-14.035593,-14.099137,-14.174825,-14.264642,-14.370727,-14.49526,-14.640247,-14.807124,-14.996119,-15.205301,-15.429451,-15.659219,-15.881713,-16.083645,-16.256445,-16.39988,-16.520906,-16.629013,-16.731985,-16.834084,-16.936247,-17.037302,-17.135513,Spine
-15.037733,-15.063487,-15.09429,-15.131012,-15.174613,-15.22612,-15.286579,-15.356987,-15.438166,-15.530611,-15.634291,-15.748441,-15.871425,-16.000778,-16.133518,-16.266752,-16.398355,-16.527416,-16.654177,-16.779625,-16.905046,-17.03177,-17.161074,-17.2941,-17.43174,-17.574501,-17.722378,-17.874804,-18.030792,-18.18923,-18.349125,-18.509573,Shaft
-14.831993,-14.858036,-14.889317,-14.926802,-14.971597,-15.024943,-15.0882,-15.162806,-15.2502165,-15.351784,-15.468602,-15.601291,-15.749758,-15.9129925,-16.08899,-16.274908,-16.467535,-16.663866,-16.86159,-17.05917,-17.255623,-17.450203,-17.642298,-17.831533,-18.018017,-18.202486,-18.386269,-18.57098,-18.75817,-18.949072,-19.144669,-19.34602,Soma
-14.569778,-14.573881,-14.578821,-14.58476,-14.5918865,-14.600428,-14.610642,-14.622837,-14.637368,-14.65465,-14.675168,-14.699493,-14.728298,-14.762376,-14.80266,-14.850239,-14.906372,-14.972489,-15.050194,-15.141239,-15.247497,-15.37086,-15.513045,-15.67519,-15.85716,-16.056488,-16.267115,-16.478596,-16.677155,-16.849749,-16.989706,-17.099396,Spine
-14.885318,-14.910619,-14.941,-14.977398,-15.020878,-15.072638,-15.133984,-15.206299,-15.290975,-15.389304,-15.502326,-15.630627,-15.774117,-15.93184,-16.101894,-16.281582,-16.4678,-16.65758,-16.848524,-17.038975,-17.227934,-17.414898,-17.599789,-17.782898,-17.96483,-18.146393,-18.328545,-18.512428,-18.699501,-18.891663,-19.091328,-19.30137,Soma
-13.648347,-13.6583,-13.670169,-13.684275,-13.700978,-13.720674,-13.74379,-13.770787,-13.802157,-13.838433,-13.880212,-13.92819,-13.983234,-14.046455,-14.119288,-14.20354,-14.301364,-14.415155,-14.54734,-14.700067,-14.874781,-15.071599,-15.288445,-15.52004,-15.75721,-15.98753,-16.198324,-16.381552,-16.53748,-16.673956,-16.801958,-16.930958,Spine
-13.855919,-13.881746,-13.912938,-13.950565,-13.995895,-14.050408,-14.115819,-14.194075,-14.287342,-14.397929,-14.52815,-14.680034,-14.854856,-15.052363,-15.269721,-15.500368,-15.733516,-15.955594,-16.154465,-16.324604,-16.469034,-16.596169,-16.714815,-16.831232,-16.94878,-17.068735,-17.191126,-17.315327,-17.440487,-17.565844,-17.690933,-17.815685,Spine
-14.940828,-14.945434,-14.950853,-14.957193,-14.964556,-14.97303,-14.982689,-14.993569,-15.005667,-15.018924,-15.033231,-15.048434,-15.0643635,-15.080869,-15.097862,-15.115356,-15.133473,-15.152432,-15.172513,-15.194031,-15.217338,-15.242866,-15.271204,-15.303175,-15.339866,-15.38261,-15.432941,-15.492543,-15.563242,-15.647039,-15.746139,-15.862945,Spine
-15.287161,-15.306707,-15.330011,-15.357688,-15.390404,-15.428855,-15.473727,-15.525648,-15.585106,-15.652357,-15.727328,-15.809536,-15.898065,-15.9916525,-16.08889,-16.18851,-16.289623,-16.391798,-16.49494,-16.599062,-16.704119,-16.810001,-16.916597,-17.023882,-17.131912,-17.240765,-17.350426,-17.460705,-17.57125,-17.681667,-17.791687,-17.901373,Shaft
-14.862355,-14.887886,-14.918554,-14.955314,-14.999253,-15.051598,-15.113694,-15.186978,-15.27291,-15.372872,-15.488019,-15.619078,-15.766123,-15.92837,-16.104084,-16.290697,-16.485212,-16.684753,-16.887094,-17.090878,-17.29554,-17.501097,-17.707956,-17.916763,-18.12822,-18.3428,-18.560461,-18.780416,-19.001144,-19.220676,-19.437174,-19.649616,Soma
-14.63539,-14.652577,-14.673085,-14.69747,-14.726338,-14.760337,-14.80012,-14.846319,-14.899477,-14.959987,-15.028005,-15.103392,-15.185672,-15.27408,-15.36769,-15.465626,-15.567306,-15.672596,-15.78182,-15.895597,-16.014566,-16.139076,-16.26887,-16.402735,-16.538204,-16.671429,-16.797632,-16.912355,-17.01321,-17.101042,-17.179626,-17.254114,Shaft
-14.813845,-14.839538,-14.87039,-14.907355,-14.951517,-15.004094,-15.066416,-15.139892,-15.22594,-15.325879,-15.440773,-15.571229,-15.717174,-15.877665,-16.050835,-16.234053,-16.42436,-16.61902,-16.815945,-17.013794,-17.211811,-17.40961,-17.60712,-17.80468,-18.00312,-18.203697,-18.407824,-18.616684,-18.831001,-19.05119,-19.277943,-19.513067,Soma
-14.428818,-14.454404,-14.485199,-14.522192,-14.566525,-14.619496,-14.682543,-14.757208,-14.845058,-14.947541,-15.065739,-15.199999,-15.349423,-15.5112705,-15.680498,-15.849885,-16.011293,-16.158102,-16.28773,-16.402407,-16.50756,-16.609137,-16.711807,-16.818611,-16.931417,-17.051474,-17.179665,-17.316534,-17.46203,-17.615063,-17.773022,-17.931707,Neck
-14.559764,-14.588329,-14.622664,-14.663845,-14.7131,-14.77181,-14.841476,-14.923682,-15.01998,-15.131732,-15.25986,-15.404507,-15.564652,-15.73782,-15.920104,-16.106838,-16.293926,-16.47932,-16.663626,-16.8492,-17.038313,-17.231665,-17.42815,-17.625824,-17.823328,-18.021006,-18.221165,-18.427246,-18.6422,-18.86668,-19.097958,-19.330326,Spine
-14.885283,-14.911412,-14.942805,-14.980444,-15.025448,-15.079082,-15.142739,-15.217909,-15.306115,-15.408812,-15.527232,-15.662183,-15.8138075,-15.981362,-16.163088,-16.356297,-16.557718,-16.764051,-16.972513,-17.1812,-17.389214,-17.596666,-17.804615,-18.01486,-18.229631,-18.451185,-18.681524,-18.9223,-19.174906,-19.44068,-19.721054,-20.01748,Soma
